Name,Price,Score,Description
Hotel Paxton Barcelona,€ 444,8.8,"Hotel Paxton Barcelona se encuentra en Barcelona, a 12 min a pie de Platja del Bogatell, y ofrece alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y salón de uso común. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, caja fuerte, TV de pantalla plana y baño privado con ducha. Hotel Paxton Barcelona dispone de algunas habitaciones con vistas a la piscina, y todas tienen hervidor. En el alojamiento, cada habitación está equipada con ropa de cama y toallas.

En Hotel Paxton Barcelona se sirve un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Port Olimpic. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 16 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Sonder La Casa del Sol,€ 440,8.4,"El establecimiento Sonder La Casa del Sol ofrece habitaciones con wifi gratuita en Barcelona, a 10 minutos a pie de La Pedrera. El hotel está bien situado en el barrio de Gràcia y cuenta con habitaciones con balcón.

Los alojamientos del hotel están equipados con TV de pantalla plana con canales por cable. Todas las habitaciones tienen baño privado.

Sonder La Casa del Sol dispone de terraza solárium.

El personal del establecimiento habla español, catalán, inglés y francés.

La Casa Batlló está a 1,3 km. El aeropuerto de Barcelona-El Prat, el más cercano, se halla a 13 km del Sonder La Casa del Sol."
Hotel Lloret Ramblas,€ 366,8.1,"El Hotel Lloret Ramblas se encuentra en las famosas Ramblas de Barcelona, junto a la plaza Catalunya. Ofrece servicio de recepción las 24 horas del día y habitaciones con aire acondicionado, TV de pantalla plana vía satélite y conexión inalámbrica a internet gratuita.

Todas las habitaciones del Lloret Ramblas Hotel son funcionales y cuentan con escritorio y baño privado con artículos de tocador. Algunas, además, tienen balcón privado.

El desayuno se sirve en el hermoso salón-comedor del Hotel Lloret Ramblas, que data de principios del siglo XX. En recepción encontrará un ordenador con conexión a internet gratuita y caja fuerte gratuita.

La catedral de Barcelona y el museo de arte moderno MACBA están a 500 metros del Hotel Lloret. La estación de metro de Catalunya está a 1 minuto a pie. A 100 metros del hotel encontrará la parada de los autobuses que conectan directamente con el aeropuerto."
NH Barcelona Diagonal Center,€ 366,8.2,"Este hotel de diseño está a 15 minutos de la playa, en el barrio barcelonés de Poblenou, en la zona empresarial de 22@. Desde la estación de metro de Bogatell, a 350 metros, se llega al centro de Barcelona en 25 minutos.

Las modernas habitaciones del NH Barcelona Diagonal Center disponen de TV de pantalla plana con canales vía satélite, escritorio, minibar y caja fuerte. El baño privado incluye artículos de aseo gratuitos y secador de pelo.

El hotel sirve un desayuno buffet.

Hay cafeterías y restaurantes en la rambla de Poblenou, a 10 minutos a pie. El centro comercial Glòries también está a 10 minutos a pie.

Este hotel NH cuenta con recepción 24 horas y centro de negocios. Hay habitaciones e instalaciones adaptadas para personas de movilidad reducida, así como WiFi gratuita en todo el establecimiento.

El aeropuerto de Barcelona está a unos 18 km y el centro de convenciones CCIB, a 3 km. Se ofrece servicio de alquiler de coches y aparcamiento privado por un suplemento."
Hostal la Palmera,€ 340,8.7,"Este hostal, de ambiente tranquilo, está situado detrás del mercado de La Boquería, a 100 metros de Las Ramblas. El hostal alberga una zona de WiFi gratuita y ofrece habitaciones luminosas y servicio de recepción las 24 horas del día.

Las habitaciones de La Palmera presentan una decoración elegante y tienen parquet flotante. También disponen de aire acondicionado, lavamanos y baño privado o compartido. El hostal proporciona toallas y ropa de cama.

El personal de recepción ofrece té, café y bebidas frías, por un suplemento. A menos de 2 minutos a pie hay numerosos bares, restaurantes y tiendas. La plaza Real se encuentra a 300 metros.

El Hostal la Palmera está situado a 5 minutos a pie de la catedral de Barcelona, en el Barrio Gótico. La Pedrera y la Casa Batlló de Gaudí se encuentran a 20 minutos a pie.

El Hostal la Palmera está situado a 2 minutos a pie de la estación de metro de Liceu. La plaza de Cataluña, donde tienen parada los autobuses directos con destino al aeropuerto de Barcelona-El Prat, se encuentra a 600 metros. El Port Vell está situado a 10 minutos a pie."
Acta Antibes,€ 427,8.5,"El Acta Antibes está en el distrito del Eixample de Barcelona, a 10 minutos a pie de la Sagrada Familia. Este hotel ofrece recepción 24 horas, desayuno buffet y WiFi gratuita.

Todas las habitaciones del Acta Antibes presentan una decoración sencilla y elegante. Las habitaciones incluyen aire acondicionado, TV y escritorio.

El Antibes dispone de consigna de equipaje. También se ofrecen desayunos sin gluten, bajo petición.

El hotel está bien situado para visitar lugares de interés como la Casa Batlló y La Pedrera de Gaudí, ubicados a unos 20 minutos a pie.

La plaza Cataluña y las Ramblas se encuentran a poco más de 1 km. La estación de metro más cercana, Monumental, está a solo 200 metros del hotel."
Hotel Condado,€ 385,8.5,"El Hotel Condado se encuentra a 200 metros de la avenida Diagonal de Barcelona y a 10 minutos a pie de la estación de metro de Diagonal. Ofrece habitaciones elegantes con aire acondicionado, TV vía satélite y conexión Wi-Fi gratuita.

Las habitaciones del Condado también cuentan con calefacción y baño privado con secador de pelo y artículos de aseo. Disponen de caja fuerte y un escritorio con un cable LAN para conectarse a internet de forma gratuita.

El desayuno se sirve en la cafetería del hotel, aunque también podrá tomarlo en su habitación.

El hotel dispone de recepción 24 horas y de mostrador de información turística, donde podrá alquilar un coche.

La Pedrera y la Casa Batlló, situadas en el paseo de Gracia, están a pocos pasos."
Moxy Barcelona,€ 392,8.1,"Moxy Barcelona dispone de piscina de temporada al aire libre, centro de fitness, restaurante y bar en Barcelona. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento ofrece centro de negocios, servicio de conserjería y cambio de moneda.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana, balcón y baño privado con ducha. En Moxy Barcelona, cada habitación incluye ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o sin gluten.

Estación de tren de Sants está a 5 min a pie del alojamiento, y Fuente Mágica de Montjuïc está a 1,3 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 11 km."
Catalonia Albeniz,€ 433,8.4,"El Catalonia Albeniz ofrece habitaciones amplias con aire acondicionado, WiFi gratuita y TV vía satélite. El establecimiento se encuentra a 150 metros de la estación de tren de Clot y a 15 minutos a pie de la Sagrada Familia de Gaudí.

El alojamiento cuenta con gimnasio y piscina al aire libre. El Albeniz también ofrece consigna de equipaje.

El Catalonia Albeniz sirve un desayuno buffet variado que incluye platos típicos de la zona, como tortilla de patata y pan con tomate.

Las habitaciones del Albeniz son luminosas, presentan una decoración sencilla en estilo moderno y cuentan con suelo de madera. Todas las habitaciones incluyen minibar, caja fuerte y baño de mármol con secador de pelo.

El Catalonia Albeniz se halla a solo 700 metros de las tiendas y restaurantes del centro comercial Glòries y a 5 minutos a pie del mercadillo de Els Encants. El alojamiento está situado a poca distancia a pie de la estación del Clot, que proporciona conexiones en metro y servicio de tren directo al aeropuerto. Todas las habitaciones del hotel tienen Smart TV con aplicación Chromecast."
Hotel Ronda Lesseps,€ 374,8.6,"El Hotel Ronda Lesseps es un establecimiento tranquilo y familiar con 2 hermosas terrazas interiores llenas de plantas que permiten a los huéspedes relajarse durante su estancia en la ciudad.

El hotel está situado en el corazón metropolitano de Barcelona, muy bien comunicado en transporte público, muy cerca del histórico barrio de Gràcia y a solo 10 minutos a pie del parque Güell de Antoni Gaudí.

Número de licencia: HB-004338"
Occidental Barcelona 1929,€ 461,8.8,"Occidental Barcelona 1929 dispone de piscina de temporada al aire libre, centro de fitness, terraza y bar en Barcelona. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la ciudad y wifi gratis. Este alojamiento libre de humo se encuentra a 7 min a pie de Fuente Mágica de Montjuïc.

El hotel ofrece habitaciones con aire acondicionado, armario, hervidor, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En Occidental Barcelona 1929, todas las habitaciones incluyen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

En la recepción 24 horas se habla catalán, inglés, español y francés, y el personal está dispuesto a ayudar en cualquier momento.

Estación de tren de Sants está a 12 min a pie del alojamiento, y Palau Sant Jordi está a 1,7 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 10 km."
Chic & Basic Velvet,€ 400,8.2,"Este moderno hotel presenta una decoración de la década de 1950 y ofrece habitaciones con aire acondicionado, WiFi gratuita y TV de pantalla plana vía satélite. La plaza Espanya de Barcelona está a 8 minutos a pie.

Las habitaciones del Chic & Basic Velvet presentan una decoración elegante con suelo de parquet e incluyen baño privado con secador de pelo y artículos de aseo gratuitos.

El hotel sirve un desayuno buffet diario en el comedor y los huéspedes pueden tomar bebidas en el bar de autoservicio, que tiene acceso directo a la terraza.

Además, a 10 minutos a pie hay una gran variedad de restaurantes.

El Chic & Basic Velvet está a solo 10 minutos a pie del centro de convenciones Fira, de la parada de autobús del aeropuerto y de Montjüic, que alberga el Museo Joan Miró y la Fuente Mágica."
El Jardi,€ 399,7.5,"El Jardi se encuentra en la plaza del Pi, en el corazón del Barrio Gótico de Barcelona. Todas las habitaciones tienen aire acondicionado, caja fuerte y TV, y la mayoría albergan un balcón privado con vistas a la plaza.

El Jardi está a solo 2 minutos a pie de las Ramblas y a 170 metros de la estación de metro de Liceu. En las inmediaciones hay numerosos restaurantes y bares.

El hotel ofrece conexión Wi-Fi gratuita en todo el establecimiento, recepción 24 horas y máquina expendedora.

El Jardi se inauguró en 1860 y fue muy popular entre los artistas. Hoy día conserva muchas de sus características históricas y gran parte de su encanto original."
Catalonia Atenas,€ 438,8.3,"El Atenas Catalonia está situado a 3 paradas de metro del centro de Barcelona y tiene una piscina en la azotea con vistas a la cercana torre Agbar y a la Sagrada Familia. Ofrece wifi gratuita y alberga un gimnasio y un spa con baño turco.

Las habitaciones del Hotel Atenas Barcelona son sencillas y luminosas y cuentan con suelo de madera. Todas tienen aire acondicionado, minibar y TV vía satélite.

El desayuno buffet del hotel cuenta con cocina a la vista y el Gastrobar ofrece cócteles y platos mediterráneos. También hay una piscina en la planta 11 con vistas espectaculares a la ciudad.

Este hotel se encuentra a poco más de 1 km de la Sagrada Familia y a 15 minutos a pie del centro comercial Glòries.

El Catalonia Atenas proporciona parking, presta servicio de equipaje y está a 2 minutos a pie de la estación de metro de Clot y a 200 metros de la estación de tren de Clot, desde donde salen trenes directos al aeropuerto de Barcelona."
